¹,latitude,longitude,altitude,MAC,Signal
1,32.170973207601364,34.811447255034764,38.99324325348963,00:f6:63:15:58:82,-91.0
2,32.17071181970333,34.81133629425737,31.229006218199256,64:d9:54:e4:95:37,-89.0
3,32.17022205635436,34.8127855067785,34.96640231407978,70:4d:7b:0c:89:50,-84.33333333333333
4,32.16872739,34.81060785,38.0,00:f6:63:15:58:80,-82.0
5,32.170520719238965,34.811220654241104,35.26484814670918,7c:b7:33:a1:7e:98,-83.0
6,32.171086152269005,34.81149286425341,39.13095213786339,00:f6:63:15:58:81,-89.66666666666667
7,32.17135803478369,34.81168874408503,31.090525572576983,3c:1e:04:07:2a:ff,-85.0
8,32.1725225188478,34.81247911919242,31.65132309930995,00:78:9e:f9:e8:58,-91.0
9,32.17134387611023,34.8116686534985,41.11423605499236,3c:1e:04:07:2a:fe,-80.0
10,32.1696487,34.81343376,35.0,10:0d:7f:83:6c:fe,-93.0
11,32.16970224,34.81083489,27.0,c0:ac:54:f8:6b:28,-80.0
12,32.17198534972246,34.81299603716402,26.593085271027938,20:0c:c8:0a:ef:2a,-82.0
13,32.17044470045137,34.81252477721117,38.06555615260612,06:ae:db:48:af:4d,-91.5
14,32.17012573,34.81242227,44.0,48:ee:0c:3b:fa:1e,-94.0
15,32.169449438584905,34.81211574693812,29.925594414509078,54:64:d9:5f:59:83,-84.5
16,32.170485041997615,34.81121443391942,28.724058829826994,58:b6:33:34:ae:f8,-88.0
17,32.16935940800852,34.81072496254775,29.922548673825318,7c:b7:33:2b:c4:52,-77.0
18,32.17110149156805,34.81301363786378,33.69249757551076,14:ae:db:b7:ab:ad,-83.0
19,32.17230692344676,34.81390382396507,46.72223219542287,fc:b4:e6:d2:86:9e,-81.0
20,32.16881183895412,34.81174970350504,40.650001121744175,92:cd:b6:2b:e9:77,-87.0
21,32.16889805537721,34.81183319930766,27.057519941460445,e0:ce:c3:86:a7:9e,-80.0
22,32.170600247689954,34.811889001334144,32.384009765028985,74:da:38:a9:1c:df,-91.0
23,32.16998611813103,34.812356059494775,30.039615793034166,00:1c:10:09:4f:bc,-86.0
24,32.17227827,34.81413625,45.0,62:ee:0c:3d:eb:b9,-88.0
25,32.17239715946203,34.81328446794193,41.30150594828295,d8:fb:5e:17:47:f8,-87.33333333333333
26,32.17139377067977,34.81280816907283,35.57526011560693,14:cc:20:76:b8:2a,-93.33333333333333
27,32.16951767463172,34.812535019271444,35.74794164072056,c0:ff:d4:7b:82:30,-94.66666666666667
28,32.16935940800851,34.810724962547745,29.763062983319177,7c:03:4c:fe:f6:68,-86.5
29,32.16871153789453,34.8107806266728,38.32878387583535,00:25:86:b1:6f:f8,-83.0
30,32.17237924,34.81348839,36.0,7c:03:4c:ba:f5:5a,-75.0
31,32.168823167573045,34.810544049627936,27.11526685223747,00:f6:63:15:58:8e,-92.0
32,32.17110218,34.81293682,39.0,7c:b7:33:ea:b8:ff,-93.0
33,32.17024204862788,34.813533118254576,29.09677084835438,e8:cc:18:ac:1b:e1,-90.0
34,32.17127494398859,34.81300613220158,29.961117451398636,b0:5a:da:fa:44:76,-86.0
35,32.17051569712217,34.81357943076238,35.327251128099576,18:1e:78:86:03:15,-68.5
36,32.169457779876055,34.81076504710256,40.54230601717542,b0:b2:8f:1e:ea:68,-81.0
37,32.1709177689138,34.81144972782899,35.93053001793517,00:13:d4:0f:f3:ba,-88.33333333333333
38,32.17092410916535,34.81275918581424,29.998889595076953,62:b2:55:67:2b:86,-92.0
39,32.17224246105308,34.8144489381276,7.777438959165592,c0:ac:54:f5:b4:c9,-92.0
40,32.16937301,34.81072683,27.0,c8:d7:19:d4:7c:73,-93.0
41,32.17240894227467,34.81332522126937,34.66128723607833,00:07:26:4f:07:ae,-88.5
42,32.16936666,34.81070436,31.0,c8:d7:19:d4:7c:75,-94.0
43,32.16954359231113,34.81078684756954,28.63350445120207,74:da:39:54:b8:1d,-75.33333333333333
44,32.16945783167478,34.81143617340996,32.036720023481685,5a:0c:c8:0f:21:90,-91.33333333333333
45,32.17225793952015,34.81441454466233,40.08129430873258,14:9d:09:80:00:9d,-86.0
46,32.16872739,34.81060785,38.0,60:e3:27:bf:a1:a5,-91.0
47,32.16937130579729,34.81071844021892,30.531266805503492,74:da:38:a9:24:1c,-81.66666666666667
48,32.172428124402145,34.81272303610188,46.8544235924933,00:78:9e:fa:0e:5c,-86.0
49,32.16917019230133,34.8106650271149,28.810367981340118,74:da:38:b6:f6:c9,-89.0
50,32.16917019230133,34.8106650271149,28.773555043061783,74:da:38:d3:bb:81,-80.0
51,32.17237839027669,34.81343417128337,42.44742405514421,c4:a8:1d:12:7d:4c,-88.0
52,32.17077878136477,34.812722779871706,34.21889968642795,4c:60:de:51:8b:ca,-91.0
53,32.172408652643796,34.81339487975188,35.82956666213046,b0:b2:8f:01:ad:fe,-83.0
54,32.16912787857928,34.8113088692678,39.96197119402044,e4:6f:13:71:f5:ce,-91.5
55,32.17147031589352,34.811712518998384,38.11111217941986,08:97:58:31:e0:c6,-83.66666666666667
56,32.16879406132886,34.810603258922264,28.97229589649981,c8:d3:ff:57:60:f5,-91.0
57,32.16876228,34.81066791,31.0,f8:ab:05:46:de:55,-85.0
58,32.169352040230876,34.8107440330666,33.733025605193404,ec:08:6b:38:0d:dd,-87.5
59,32.168823167573045,34.810544049627936,27.11526685223747,ec:08:6b:38:0d:dc,-89.0
60,32.16981779,34.81346387,35.0,48:ee:0c:3b:ac:5a,-75.0
61,32.17153243,34.81172407,31.000000000000004,54:b8:0a:34:78:d0,-88.0
62,32.1696487,34.81343376,35.0,00:30:4f:91:38:b3,-73.0
63,32.17180755,34.81183239,31.000000000000004,c4:04:15:60:6a:b6,-82.0
64,32.17114098195154,34.81321325813497,32.118060123869924,f8:ab:05:e9:6d:3d,-81.33333333333333
65,32.171882980225476,34.811874982433956,44.02238440873289,c4:04:15:60:6a:b5,-84.66666666666667
66,32.1708157,34.81137225,32.0,48:ee:0c:3c:30:1e,-93.0
67,32.17231428239179,34.81391151665927,40.533851276359606,f4:f2:6d:af:45:26,-90.0
68,32.17246651,34.81278713,48.0,06:ae:db:c1:ad:7d,-87.0
69,32.16930328971546,34.81071393258221,27.82938002803731,74:da:38:a9:24:17,-75.0
70,32.17021581,34.81353649,37.0,28:f3:66:9d:dc:cb,-84.0
71,32.17206721,34.81192728,32.0,f4:f2:6d:5e:d0:48,-96.0
72,32.17212193,34.81196568,47.0,7c:b7:33:97:35:f1,-73.0
73,32.170409635313014,34.81253033272143,35.37451756555825,d0:d4:12:5e:db:f2,-87.66666666666667
74,32.17253375,34.81242662,42.0,3c:52:82:af:42:75,-59.0
75,32.171058088079995,34.81351327456397,34.49692458682181,00:12:2a:d2:0c:38,-87.5
76,32.17109863349651,34.81304547015472,36.567230131628804,14:cc:20:09:3c:b9,-87.33333333333333
77,32.16927107246911,34.81201044802282,27.21999505256496,86:2a:a8:eb:a9:60,-90.0
78,32.16940316,34.81209444,40.0,00:26:5a:10:b7:0a,-82.0
79,32.17134232,34.81165241,37.0,00:c0:02:0a:c6:c2,-93.0
80,32.17011698236429,34.812411412142616,40.826734325966484,8c:dc:d4:6a:a9:8a,-87.33333333333333
81,32.16929824901474,34.81201572882817,38.491247228516336,82:2a:a8:bf:94:29,-72.0
82,32.17223867916217,34.81202835219862,30.517667486511723,a0:ab:1b:57:cd:42,-76.5
83,32.170841733234134,34.81364401834643,33.2800463262508,c0:ac:54:f7:42:60,-85.33333333333333
84,32.172252019523675,34.814391891326764,17.18081811626479,80:1f:02:f5:d8:e8,-89.0
85,32.1712926205347,34.812243022487316,33.69111416124605,c4:a8:1d:12:df:c5,-91.5
86,32.17223176,34.81443004,45.0,14:9d:09:80:00:f1,-85.0
87,32.16968439,34.8121884,31.0,e0:ce:c3:8c:c1:94,-93.0
88,32.17146616,34.81290244,38.0,74:da:38:b6:f3:7a,-94.0
89,32.17250306,34.81263803,42.0,fc:75:16:55:27:fa,-94.0
90,32.17226318,34.81420816,40.0,74:44:01:39:09:86,-93.0
91,32.171176511717704,34.81159409519152,35.00469475513095,d8:fb:5e:17:1b:d6,-94.0
92,32.17228483399432,34.814036899369874,30.59005383029067,00:12:2a:35:c8:7c,-86.0
93,32.170434860373376,34.81119072874409,35.16075161434658,18:cc:23:00:18:45,-90.5
94,32.16877222,34.81164041,36.0,ec:8c:a2:08:a4:5c,-69.0
95,32.1716947,34.81179424,42.0,6c:b0:ce:2f:43:36,-92.0
96,32.16908296373716,34.810628708591274,31.421652476001455,28:80:23:f6:e0:c1,-84.66666666666667
97,32.169526477292365,34.810772077039324,23.0,48:ee:0c:39:f9:15,-88.5
98,32.17035534379865,34.81357135493597,33.572588454452514,e8:cc:18:ac:1a:52,-76.5
99,32.16935676,34.81068889,29.0,62:be:f5:40:26:83,-96.0
100,32.17241727,34.81315388,44.0,74:da:38:14:1f:8d,-82.0
101,32.17243758,34.81296682,47.0,14:ae:db:c1:ad:7d,-84.0
102,32.169763446202566,34.81087437050561,34.615118181840145,10:be:f5:3f:b2:ce,-93.0
103,32.17238485133309,34.81335251001789,36.14795188031762,20:0c:c8:1b:a2:48,-82.5
104,32.17218268216534,34.81446401702757,13.65040888895076,40:65:a3:35:4c:c4,-75.0
105,32.1698631002169,34.81091803775746,32.40766325260498,c0:ac:54:f7:27:42,-91.0
106,32.1695048,34.81211179,27.0,40:b0:34:62:33:a6,-87.0
107,32.16923806,34.81066982,25.0,34:36:3b:c2:be:b8,-91.0
108,32.169558759719756,34.81216374512876,37.975790044570275,f8:d1:11:b8:3b:7e,-88.66666666666667
109,32.1699449632106,34.81096823595285,41.15224303065266,86:2a:a8:a1:a0:b5,-89.0
110,32.17238584933077,34.813457516884476,31.71948525264403,52:b0:ce:ac:32:98,-85.33333333333333
111,32.16994716187686,34.8109426567386,34.60026304461056,20:0c:c8:1d:c8:2b,-82.0
112,32.17005047256307,34.811007615648165,28.289290688769423,20:0c:c8:1d:c8:2c,-89.0
113,32.170203204682736,34.81248447848132,34.90574762557573,d4:6e:0e:3c:44:e1,-80.0
114,32.17106538,34.81150977,30.0,f8:d1:11:ce:e5:e6,-96.0
115,32.16942426,34.81209986,36.0,82:2a:a8:bf:93:e5,-85.0
116,32.1709647602487,34.81363051736938,34.77099905666582,c0:ac:54:f7:3c:c2,-88.0
117,32.17031089,34.81250563,44.0,00:78:9e:fa:3b:62,-90.0
118,32.17107905750794,34.812733114636586,32.60838061767967,00:0b:6c:4d:1b:3f,-91.0
